Strike,ImpVol
80,0.0545360260767
81,0.0526934783991
82,0.0508245894579
83,0.0490115787794
84,0.047257529731
85,0.0455112450635
86,0.0437095054104
87,0.0419382528834
88,0.0401754242245
89,0.0384181330099
90,0.0366644929658
91,0.0349339692375
92,0.0332124097633
93,0.0314904167164
94,0.0297736910258
95,0.0280659698889
96,0.0263746464301
97,0.0247123089133
98,0.0231085475054
99,0.021600542755
100,0.0202549013942
101,0.0191757415027
102,0.0184762006399
103,0.0182203376333
104,0.018376175643
105,0.0188457144191
106,0.0195294203433
107,0.0203503793931
108,0.0212759668129
109,0.0222045213667
110,0.0231231854992
111,0.024100807505
112,0.0248334661401
113,0.0253176710657
114,0.0258038430256
115,nan
116,nan
117,nan
118,nan
119,nan
